issue_id	date	house	meeting_name	session	meeting_number	n_speeches	keyword
117704601X01120110419	2011-04-19	衆議院	総務委員会	177	第11号	182	議員定数削減 OR 議員定数の削減
117704601X01420110428	2011-04-28	衆議院	総務委員会	177	第14号	104	議員定数削減 OR 議員定数の削減
117705254X00120110124	2011-01-24	衆議院	本会議	177	第1号	24	議員定数削減 OR 議員定数の削減
117705261X00220110131	2011-01-31	衆議院	予算委員会	177	第2号	107	議員定数削減 OR 議員定数の削減
117705261X00320110201	2011-02-01	衆議院	予算委員会	177	第3号	362	議員定数削減 OR 議員定数の削減
117705261X00520110203	2011-02-03	衆議院	予算委員会	177	第5号	326	議員定数削減 OR 議員定数の削減
117705261X00820110208	2011-02-08	衆議院	予算委員会	177	第8号	302	議員定数削減 OR 議員定数の削減
117714370X02120110823	2011-08-23	参議院	財政金融委員会	177	第21号	378	議員定数削減 OR 議員定数の削減
117714601X01420110519	2011-05-19	参議院	総務委員会	177	第14号	132	議員定数削減 OR 議員定数の削減
117715254X00120110124	2011-01-24	参議院	本会議	177	第1号	17	議員定数削減 OR 議員定数の削減
117715254X00220110127	2011-01-27	参議院	本会議	177	第2号	10	議員定数削減 OR 議員定数の削減
117715254X00320110128	2011-01-28	参議院	本会議	177	第3号	49	議員定数削減 OR 議員定数の削減
117804858X00320111005	2011-10-05	衆議院	東日本大震災復興特別委員会	178	第3号	313	議員定数削減 OR 議員定数の削減
117904376X00520111122	2011-11-22	衆議院	財務金融委員会	179	第5号	209	議員定数削減 OR 議員定数の削減
117905254X00520111101	2011-11-01	衆議院	本会議	179	第5号	30	議員定数削減 OR 議員定数の削減
117905261X00220111107	2011-11-07	衆議院	予算委員会	179	第2号	122	議員定数削減 OR 議員定数の削減
117915254X01120111207	2011-12-07	参議院	本会議	179	第11号	58	議員定数削減 OR 議員定数の削減
118004024X00620120223	2012-02-23	衆議院	議院運営委員会	180	第6号	21	議員定数削減 OR 議員定数の削減
118004024X03720120828	2012-08-28	衆議院	議院運営委員会	180	第37号	19	議員定数削減 OR 議員定数の削減
118004183X00820120802	2012-08-02	衆議院	憲法審査会	180	第8号	50	議員定数削減 OR 議員定数の削減
118004401X00320120517	2012-05-17	衆議院	社会保障と税の一体改革に関する特別委員会	180	第3号	87	議員定数削減 OR 議員定数の削減
118004401X01220120531	2012-05-31	衆議院	社会保障と税の一体改革に関する特別委員会	180	第12号	319	議員定数削減 OR 議員定数の削減
118004401X01320120601	2012-06-01	衆議院	社会保障と税の一体改革に関する特別委員会	180	第13号	251	議員定数削減 OR 議員定数の削減
118004401X01420120605	2012-06-05	衆議院	社会保障と税の一体改革に関する特別委員会	180	第14号	530	議員定数削減 OR 議員定数の削減
118004401X01820120611	2012-06-11	衆議院	社会保障と税の一体改革に関する特別委員会	180	第18号	355	議員定数削減 OR 議員定数の削減
118004401X02120120625	2012-06-25	衆議院	社会保障と税の一体改革に関する特別委員会	180	第21号	315	議員定数削減 OR 議員定数の削減
118004401X02220120626	2012-06-26	衆議院	社会保障と税の一体改革に関する特別委員会	180	第22号	146	議員定数削減 OR 議員定数の削減
118004402X00220120613	2012-06-13	衆議院	社会保障と税の一体改革に関する特別委員会公聴会	180	第2号	231	議員定数削減 OR 議員定数の削減
118004577X00320120523	2012-05-23	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	180	第3号	91	議員定数削減 OR 議員定数の削減
118004577X00620120823	2012-08-23	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	180	第6号	27	議員定数削減 OR 議員定数の削減
118004577X00820120827	2012-08-27	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	180	第8号	19	議員定数削減 OR 議員定数の削減
118004577X00920120907	2012-09-07	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	180	第9号	21	議員定数削減 OR 議員定数の削減
118005254X00220120126	2012-01-26	衆議院	本会議	180	第2号	27	議員定数削減 OR 議員定数の削減
118005254X00320120127	2012-01-27	衆議院	本会議	180	第3号	28	議員定数削減 OR 議員定数の削減
118005254X00520120221	2012-02-21	衆議院	本会議	180	第5号	38	議員定数削減 OR 議員定数の削減
118005254X02020120511	2012-05-11	衆議院	本会議	180	第20号	35	議員定数削減 OR 議員定数の削減
118005254X02320120601	2012-06-01	衆議院	本会議	180	第23号	32	議員定数削減 OR 議員定数の削減
118005254X03320120809	2012-08-09	衆議院	本会議	180	第33号	31	議員定数削減 OR 議員定数の削減
118005254X03620120828	2012-08-28	衆議院	本会議	180	第36号	29	議員定数削減 OR 議員定数の削減
118005261X00320120201	2012-02-01	衆議院	予算委員会	180	第3号	387	議員定数削減 OR 議員定数の削減
118005261X00620120209	2012-02-09	衆議院	予算委員会	180	第6号	394	議員定数削減 OR 議員定数の削減
118005261X01420120222	2012-02-22	衆議院	予算委員会	180	第14号	411	議員定数削減 OR 議員定数の削減
118005261X01520120223	2012-02-23	衆議院	予算委員会	180	第15号	350	議員定数削減 OR 議員定数の削減
118005261X01620120227	2012-02-27	衆議院	予算委員会	180	第16号	398	議員定数削減 OR 議員定数の削減
118005261X02020120306	2012-03-06	衆議院	予算委員会	180	第20号	290	議員定数削減 OR 議員定数の削減
118005261X02220120308	2012-03-08	衆議院	予算委員会	180	第22号	172	議員定数削減 OR 議員定数の削減
118005261X02620120709	2012-07-09	衆議院	予算委員会	180	第26号	374	議員定数削減 OR 議員定数の削減
118005261X02720120712	2012-07-12	衆議院	予算委員会	180	第27号	472	議員定数削減 OR 議員定数の削減
118005266X00120120305	2012-03-05	衆議院	予算委員会第一分科会	180	第1号	480	議員定数削減 OR 議員定数の削減
118014401X00720120725	2012-07-25	参議院	社会保障と税の一体改革に関する特別委員会	180	第7号	436	議員定数削減 OR 議員定数の削減
118014578X00220120905	2012-09-05	参議院	政治倫理の確立及び選挙制度に関する特別委員会	180	第2号	134	議員定数削減 OR 議員定数の削減
118014889X00220120322	2012-03-22	参議院	内閣委員会	180	第2号	358	議員定数削減 OR 議員定数の削減
118015254X00220120127	2012-01-27	参議院	本会議	180	第2号	13	議員定数削減 OR 議員定数の削減
118015254X00320120130	2012-01-30	参議院	本会議	180	第3号	38	議員定数削減 OR 議員定数の削減
118015254X00420120208	2012-02-08	参議院	本会議	180	第4号	18	議員定数削減 OR 議員定数の削減
118015254X01120120405	2012-04-05	参議院	本会議	180	第11号	41	議員定数削減 OR 議員定数の削減
118015254X01920120711	2012-07-11	参議院	本会議	180	第19号	51	議員定数削減 OR 議員定数の削減
118015254X02020120713	2012-07-13	参議院	本会議	180	第20号	38	議員定数削減 OR 議員定数の削減
118015254X02620120907	2012-09-07	参議院	本会議	180	第26号	25	議員定数削減 OR 議員定数の削減
118024293X00120120229	2012-02-29	両院	国家基本政策委員会合同審査会	180	第1号	40	議員定数削減 OR 議員定数の削減
118104577X00220121115	2012-11-15	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	181	第2号	137	議員定数削減 OR 議員定数の削減
118105254X00320121101	2012-11-01	衆議院	本会議	181	第3号	25	議員定数削減 OR 議員定数の削減
118114578X00220121115	2012-11-15	参議院	政治倫理の確立及び選挙制度に関する特別委員会	181	第2号	92	議員定数削減 OR 議員定数の削減
118304129X00120130621	2013-06-21	衆議院	決算行政監視委員会第一分科会	183	第1号	234	議員定数削減 OR 議員定数の削減
118304376X00320130319	2013-03-19	衆議院	財務金融委員会	183	第3号	303	議員定数削減 OR 議員定数の削減
118304376X00720130424	2013-04-24	衆議院	財務金融委員会	183	第7号	94	議員定数削減 OR 議員定数の削減
118304577X00920130418	2013-04-18	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	183	第9号	84	議員定数削減 OR 議員定数の削減
118304577X01020130419	2013-04-19	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	183	第10号	68	議員定数削減 OR 議員定数の削減
118305254X00220130130	2013-01-30	衆議院	本会議	183	第2号	20	議員定数削減 OR 議員定数の削減
118305254X00820130228	2013-02-28	衆議院	本会議	183	第8号	14	議員定数削減 OR 議員定数の削減
118305254X00920130304	2013-03-04	衆議院	本会議	183	第9号	36	議員定数削減 OR 議員定数の削減
118305254X03520130624	2013-06-24	衆議院	本会議	183	第35号	69	議員定数削減 OR 議員定数の削減
118305261X00220130207	2013-02-07	衆議院	予算委員会	183	第2号	301	議員定数削減 OR 議員定数の削減
118305261X00420130212	2013-02-12	衆議院	予算委員会	183	第4号	314	議員定数削減 OR 議員定数の削減
118305261X02120130409	2013-04-09	衆議院	予算委員会	183	第21号	334	議員定数削減 OR 議員定数の削減
118305272X00220130415	2013-04-15	衆議院	予算委員会第二分科会	183	第2号	399	議員定数削減 OR 議員定数の削減
118315254X00820130228	2013-02-28	参議院	本会議	183	第8号	11	議員定数削減 OR 議員定数の削減
118315254X01920130515	2013-05-15	参議院	本会議	183	第19号	23	議員定数削減 OR 議員定数の削減
118504260X00320131106	2013-11-06	衆議院	厚生労働委員会	185	第3号	276	議員定数削減 OR 議員定数の削減
118504260X00720131115	2013-11-15	衆議院	厚生労働委員会	185	第7号	130	議員定数削減 OR 議員定数の削減
118504577X00320131114	2013-11-14	衆議院	政治倫理の確立及び公職選挙法改正に関する特別委員会	185	第3号	77	議員定数削減 OR 議員定数の削減
118505254X00220131016	2013-10-16	衆議院	本会議	185	第2号	14	議員定数削減 OR 議員定数の削減
118505254X00320131017	2013-10-17	衆議院	本会議	185	第3号	29	議員定数削減 OR 議員定数の削減
118505254X01120131119	2013-11-19	衆議院	本会議	185	第11号	43	議員定数削減 OR 議員定数の削減
118505254X01720131206	2013-12-06	衆議院	本会議	185	第17号	80	議員定数削減 OR 議員定数の削減
118505261X00320131022	2013-10-22	衆議院	予算委員会	185	第3号	351	議員定数削減 OR 議員定数の削減
118514578X00320131127	2013-11-27	参議院	政治倫理の確立及び選挙制度に関する特別委員会	185	第3号	72	議員定数削減 OR 議員定数の削減
118515254X01120131204	2013-12-04	参議院	本会議	185	第11号	51	議員定数削減 OR 議員定数の削減
118604024X03520140619	2014-06-19	衆議院	議院運営委員会	186	第35号	10	議員定数削減 OR 議員定数の削減
118604127X00320140616	2014-06-16	衆議院	決算行政監視委員会	186	第3号	227	議員定数削減 OR 議員定数の削減
118605254X00220140128	2014-01-28	衆議院	本会議	186	第2号	19	議員定数削減 OR 議員定数の削減
118605254X00320140129	2014-01-29	衆議院	本会議	186	第3号	34	議員定数削減 OR 議員定数の削減
118605254X00720140228	2014-02-28	衆議院	本会議	186	第7号	66	議員定数削減 OR 議員定数の削減
118614183X00120140226	2014-02-26	参議院	憲法審査会	186	第1号	74	議員定数削減 OR 議員定数の削減
118614601X01120140328	2014-03-28	参議院	総務委員会	186	第11号	363	議員定数削減 OR 議員定数の削減
118615254X00320140130	2014-01-30	参議院	本会議	186	第3号	29	議員定数削減 OR 議員定数の削減
